0.0,-63.25405172907035
0.01,-62.595104613281485
0.02,-61.93029445266429
0.03,-61.214301026293626
0.04,-61.13316739692086
0.05,-60.36781844243933
0.06,-59.706089466321856
0.07,-59.0168005521057
0.08,-58.84197802069232
0.09,-58.130593673629505
0.1,-57.43324161390079
0.11,-57.225666472383175
0.12,-56.53475060231176
0.13,-56.361468950278685
0.14,-55.5974632473499
0.15,-55.44117918941789
0.16,-54.64719985968214
0.17,-54.41018143624702
0.18,-53.66943368980983
0.19,-53.412646718731985
0.2,-53.3853161181919
0.21,-52.413420293461144
0.22,-52.13041786165354
0.23,-51.89099696649907
0.24,-51.02041185637439
0.25,-50.80292543403761
0.26,-50.50039184578296
0.27,-50.19136260213528
0.28,-49.89388081708999
0.29,-49.63456635785599
0.3,-49.57646253625169
0.31,-48.06484566434152
0.32,-47.88646068525367
0.33,-47.525480127353894
0.34,-46.83528227800439
0.35,-47.73026277914007
0.36,-47.18546571051918
0.37,-46.76112728144883
0.38,-46.37040704918538
0.39,-45.97897069234658
0.4,-45.572117754476366
0.41,-44.98703828774579
0.42,-45.25717212029562
0.43,-44.80143943479758
0.44,-44.36115279482633
0.45,-44.557101283320605
0.46,-43.958243479977654
0.47,-43.484364337493126
0.48,-43.549889826172986
0.49,-43.04565254001743
0.5,-43.21610805109442
0.51,-42.54951197273285
0.52,-42.82105129561763
0.53,-42.02108190342252
0.54,-42.071432295898276
0.55,-41.45523511795495
0.56,-41.41657707848305
0.57,-40.73663957600092
0.58,-40.79928998877461
0.59,-40.740153076170635
0.6,-39.94290803883264
0.61,-40.0476794688205
0.62,-39.95310986071371
0.63,-39.87659756999265
0.64,-38.42889111262515
0.65,-39.06346917900761
0.66,-38.96072035838557
0.67,-38.81730914440292
0.68,-38.66269890869395
0.69,-38.50209076973127
0.7,-38.335669638528174
0.71,-38.16078936317462
0.72,-37.973796788267634
0.73,-37.772979575462166
0.74,-37.55382131103179
0.75,-37.33244695596937
0.76,-37.09849082648394
0.77,-36.863990616840546
0.78,-36.61048872439711
0.79,-36.31934702709492
0.81,-36.36864614677537
0.8,-35.13009947075595
0.82,-36.04372618345371
0.83,-35.744558943556285
0.84,-35.29755688365135
0.85,-35.679942594866084
0.86,-35.32217232822761
0.87,-34.931354519280866
0.88,-35.19781127102467
0.89,-34.808994785264794
0.9,-34.049583028403156
0.91,-34.6019540578308
0.92,-34.16400948292733
0.93,-34.35844644431639
0.94,-33.91588870190689
0.95,-34.07339853065748
0.96,-33.592642534004696
0.97,-33.73672952363326
0.98,-33.120037864248765
0.99,-33.367687833032825
1.0,-33.52497941239169
1.01,-32.94146681007387
1.02,-33.01759489669599
1.03,-33.22661052149139
1.04,-32.53118489226902
1.05,-32.57818055745597
1.06,-32.627487349671824
1.07,-31.66174064413296
1.08,-32.036508853531224
1.09,-32.04835282009917
1.1,-32.03423039623384
1.11,-32.04416677456964
1.12,-32.337906633994955
1.13,-31.226191423987927
1.14,-31.26441345245044
1.15,-31.22423076005291
1.16,-31.160102254428665
1.17,-31.076324887696725
1.18,-30.982394837232455
1.19,-30.87927971199471
1.2,-30.76719448578267
1.21,-30.64602033917411
1.22,-30.515117704167107
1.23,-30.36606232508337
1.24,-30.204964632646746
1.25,-29.987321059935645
1.27,-30.397533966179758
1.26,-29.363435750529245
1.28,-30.119659025275713
1.29,-29.90925406193465
1.3,-29.700496389412727
1.31,-29.43139643791448
1.32,-30.076749418427397
1.33,-29.615553368203447
1.34,-29.359684510456624
1.35,-29.05126051383818
1.36,-29.51352543175118
1.37,-29.157566709440975
1.38,-28.851799588051968
1.39,-29.277178038958205
1.4,-28.872807824303937
1.41,-28.48885798694621
1.42,-28.860477238387727
1.46,-30.447702021959365
1.43,-28.501566047240093
1.44,-28.900543562631114
1.45,-28.422214567584152
1.47,-28.2933048667446
1.5,-29.231253029845085
1.49,-28.138091352570953
1.48,-27.39568771314547
1.51,-27.93758248186034
1.52,-28.243415267825778
1.53,-27.70512842893202
1.54,-27.899363584273473
1.55,-27.346163472208623
1.56,-27.60666465752154
1.57,-27.844939644087578
1.58,-27.255250212517065
1.59,-27.425550370599815
1.6,-27.640596467912083
1.61,-27.002987296860226
1.62,-27.167744828973493
1.63,-27.28549553197814
1.65,-26.811368625027306
1.66,-26.913342660608112
1.64,-25.481483205269896
1.67,-26.99387375742013
1.68,-27.189722277246286
1.69,-26.336513887345735
1.7,-26.512556651515986
1.71,-26.56109506392537
1.72,-26.597245832809786
1.73,-26.635331816729824
1.74,-26.6923479404433
1.75,-26.898401869853384
1.76,-25.608715875585922
1.77,-25.897862454649648
1.78,-25.940439666543867
1.79,-25.946960377007553
1.8,-25.921790201500674
1.81,-25.890813083184128
1.82,-25.84399018808294
1.83,-25.794938766152086
1.84,-25.73109583457352
1.85,-25.65804263612921
1.86,-25.573649954354543
1.87,-25.466103886817372
1.88,-25.331156568990476
1.9,-26.31072908882208
1.89,-25.052004043601382
1.91,-25.83759953906415
1.92,-25.64599471793603
1.93,-25.499123105163864
1.94,-25.360523560377327
1.95,-25.214425809938735
1.96,-25.030556777773153
1.98,-25.462472446395815
2.02,-27.84733351015109
1.97,-24.332371753824088
1.99,-25.23279967066112
2.0,-25.04780998328681
2.01,-24.83478525376658
2.03,-25.148561515321937
2.04,-24.91524693729538
2.06,-25.685321074823968
2.05,-24.682994303363465
2.07,-24.923305348068084
2.08,-24.676666906549222
2.1,-24.876176359763196
2.09,-24.281425553729434
2.11,-24.593563705439674
2.12,-24.215217615628625
2.13,-24.747927707969964
2.14,-24.44966577096457
